optimal_threshold,pct_flagged_at_optimum,expected_total_cost_at_optimum,treat_none_total_cost,treat_none_per_patient,treat_all_total_cost,treat_all_per_patient,savings_vs_best_naive_strategy,model
0.13,0.3426666666666667,3041249.529690166,3588470.501465172,2392.313667643448,3333698.7610549238,2222.4658407032825,292449.23136475775,Naive Bayes
0.13,0.41933333333333334,2449103.3990416224,2634317.16874091,1756.2114458272733,2646708.3614934552,1764.4722409956369,185213.7696992876,K-Nearest Neighbors
0.13,0.44466666666666665,2678484.65620841,2912033.324711105,1941.3555498074033,2846663.993791995,1897.77599586133,168179.33758358518,Gradient Boosting
0.13,0.53,2772006.5896577807,2947631.8696306394,1965.087913087093,2872294.94613406,1914.8632974227069,100288.35647627944,SVM (RBF)
0.09999999999999999,0.9146666666666666,7097701.179364144,8896807.629755266,5931.205086503511,7155701.4934237925,4770.467662282528,58000.31405964866,Decision Tree
0.13,0.9913333333333333,7367663.313667797,9192906.840089634,6128.604560059756,7368892.924864536,4912.595283243024,1229.611196739599,Logistic Regression
0.01,1.0,6746466.191791463,8328425.266377032,5552.283510918021,6746466.191791463,4497.6441278609755,0.0,Random Forest
