model,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,0.66,0.25838926174496646,0.6936936936936937,0.3765281173594132,0.7038552637144186,0.3265170415102467
Naive Bayes,0.8053333333333333,0.27564102564102566,0.19369369369369369,0.2275132275132275,0.6782627698120656,0.2533135684963336
Random Forest,0.7426666666666667,0.25301204819277107,0.3783783783783784,0.30324909747292417,0.6760669119824049,0.27593818194595704
Gradient Boosting,0.8526666666666667,0.5384615384615384,0.03153153153153153,0.059574468085106386,0.675774365915211,0.2887288942207619
SVM (RBF),0.7133333333333334,0.22340425531914893,0.3783783783783784,0.2809364548494983,0.6189957563196999,0.20643926364473503
Decision Tree,0.5493333333333333,0.196524064171123,0.6621621621621622,0.3030927835051546,0.6159134486599276,0.21062373416048713
K-Nearest Neighbors,0.852,0.0,0.0,0.0,0.6063880782190642,0.21653258875576573
